tag,policy,rank,mean_err,median_err
layer38_expert03,expert_static,576.0,0.26176866101317087,0.26126694679260254
layer38_expert03,expert_static,640.0,0.19848271344896395,0.19726618379354477
layer38_expert03,expert_static,704.0,0.12831145153909362,0.12698788940906525
layer38_expert03,expert_static,768.0,0.001724110784286087,0.0017235533450730145
layer38_expert03,oracle_token_wise,767.9749216300941,0.0017419043216025194,0.0017235850682482123
layer38_expert03,random_equal_budget_mixture,767.9749216300941,0.00176884161401832,0.00176884161401832
layer38_expert55,expert_static,16.0,0.7220326669398258,0.7238612174987793
layer38_expert55,expert_static,32.0,0.6660671517063232,0.6689395308494568
layer38_expert55,expert_static,48.0,0.625631504572264,0.6277426481246948
layer38_expert55,expert_static,64.0,0.5936566890255566,0.594385027885437
layer38_expert55,expert_static,96.0,0.541552365896894,0.5423000454902649
layer38_expert55,expert_static,128.0,0.4987162208666727,0.49843794107437134
layer38_expert55,expert_static,160.0,0.4610979607705517,0.4613892734050751
layer38_expert55,expert_static,192.0,0.42723542750197896,0.4272867739200592
layer38_expert55,expert_static,224.0,0.3963437706885446,0.3960653841495514
layer38_expert55,expert_static,256.0,0.3669318071886623,0.3669375479221344
layer38_expert55,expert_static,320.0,0.3143874697081608,0.3130275309085846
layer38_expert55,expert_static,384.0,0.26671057868553943,0.2649579346179962
layer38_expert55,expert_static,448.0,0.22211868999660267,0.22055627405643463
layer38_expert55,expert_static,512.0,0.179981538583294,0.1782856583595276
layer38_expert55,expert_static,544.0,0.15994031744833925,0.15884342789649963
layer38_expert55,expert_static,576.0,0.14031006279790081,0.13908380270004272
layer38_expert55,expert_static,640.0,0.1012072954793188,0.0999530628323555
layer38_expert55,expert_static,704.0,0.06139304522698932,0.06037001684308052
layer38_expert55,expert_static,768.0,0.0017275884146492565,0.0017111838096752763
layer38_expert55,oracle_token_wise,754.6387553041019,0.009332328220194435,0.001734461053274572
layer38_expert55,random_equal_budget_mixture,754.6387553041019,0.014151937279908206,0.014151937279908206
