layer,matrix_type,cond_a,seed_a,cond_b,seed_b,n_experts_common,n_excluded_a,n_excluded_b,mean_angle_deg_k16,mean_angle_deg_k32,mean_angle_deg_k64,max_angle_deg_k16,max_angle_deg_k32,max_angle_deg_k64,proj_dist_k16,proj_dist_k32,proj_dist_k64,whitening_reldist_k16,whitening_reldist_k32,whitening_reldist_k64,cov_reldist_k16,cov_reldist_k32,cov_reldist_k64
3,up_proj,chinese_only,2,bengali_only,2,64,0,0,82.54352569580078,81.0376968383789,78.58879089355469,89.7305908203125,89.80427551269531,89.89143371582031,3.9370367527008057,5.544945240020752,7.764267444610596,1.4706618785858154,1.4658839702606201,1.4730031490325928,1.6554577350616455,1.6522767543792725,1.649178147315979
3,up_proj,chinese_only,2,mixed_5lang,0,64,0,0,76.94660949707031,74.58705139160156,69.89683532714844,89.58809661865234,89.7401123046875,89.84644317626953,3.7990505695343018,5.316708564758301,7.290113925933838,1.3985501527786255,1.3737609386444092,1.33230721950531,1.4460581541061401,1.4404211044311523,1.4339261054992676
3,up_proj,chinese_only,2,mixed_5lang,1,64,0,0,77.46643829345703,75.63291931152344,71.23210906982422,89.67090606689453,89.78107452392578,89.790771484375,3.8140063285827637,5.358523368835449,7.3723344802856445,1.4032368659973145,1.3840842247009277,1.345458745956421,1.4602792263031006,1.4539871215820312,1.447985291481018
3,up_proj,chinese_only,2,mixed_5lang,2,64,0,0,76.98238372802734,75.05892944335938,70.48206329345703,89.52425384521484,89.72602844238281,89.83086395263672,3.8003745079040527,5.3360276222229,7.3256025314331055,1.3986284732818604,1.3785558938980103,1.3381093740463257,1.4409823417663574,1.4351179599761963,1.4288092851638794
3,up_proj,korean_only,0,korean_only,1,64,0,0,13.38088321685791,16.067893981933594,21.604063034057617,59.549644470214844,76.83563232421875,87.24526977539062,1.1758317947387695,1.9367139339447021,3.476938009262085,0.5215681195259094,0.6144026517868042,0.7966992855072021,0.15107572078704834,0.1507350355386734,0.15224480628967285
3,up_proj,korean_only,0,korean_only,2,64,0,0,14.003689765930176,16.70004653930664,21.842832565307617,61.28727722167969,79.7852554321289,87.09553527832031,1.2279713153839111,2.0047855377197266,3.50123929977417,0.544068455696106,0.6373403072357178,0.800946056842804,0.15580640733242035,0.15609773993492126,0.15644466876983643
3,up_proj,korean_only,0,swahili_only,0,64,0,0,80.48583984375,79.0866470336914,76.61524963378906,89.65077209472656,89.75562286376953,89.82360076904297,3.8980631828308105,5.490673065185547,7.677526473999023,1.4544111490249634,1.4492080211639404,1.440725326538086,1.5336228609085083,1.5325103998184204,1.5312888622283936
3,up_proj,korean_only,0,swahili_only,1,64,0,0,80.45783996582031,79.01261138916016,76.56045532226562,89.6182861328125,89.74270629882812,89.8608169555664,3.8973724842071533,5.48899507522583,7.6750311851501465,1.4551249742507935,1.4485864639282227,1.4405266046524048,1.535927653312683,1.534752607345581,1.5334725379943848
3,up_proj,korean_only,0,swahili_only,2,64,0,0,80.50840759277344,79.13961791992188,76.67023468017578,89.6641845703125,89.83345031738281,89.86892700195312,3.898867130279541,5.49290657043457,7.681087493896484,1.4521899223327637,1.4461085796356201,1.4384421110153198,1.5330308675765991,1.5317888259887695,1.5304548740386963
3,up_proj,korean_only,0,bengali_only,0,64,0,0,76.1668701171875,74.40738677978516,71.27165222167969,89.55110931396484,89.7330551147461,89.8072509765625,3.795807123184204,5.322805404663086,7.383835792541504,1.4159077405929565,1.4162664413452148,1.4230091571807861,1.4063115119934082,1.4036990404129028,1.401483178138733
3,up_proj,korean_only,0,bengali_only,1,64,0,0,76.12594604492188,74.41712951660156,71.31399536132812,89.5821762084961,89.72904968261719,89.85504913330078,3.7942538261413574,5.322931289672852,7.385776042938232,1.4141271114349365,1.4150290489196777,1.422741413116455,1.4052643775939941,1.4026895761489868,1.4004881381988525
3,up_proj,korean_only,0,bengali_only,2,64,0,0,76.01544189453125,74.2948989868164,71.20479583740234,89.58363342285156,89.72844696044922,89.8133544921875,3.7904415130615234,5.316794395446777,7.379162788391113,1.4140737056732178,1.4156509637832642,1.4216421842575073,1.4074805974960327,1.4048494100570679,1.402635097503662
3,up_proj,korean_only,0,mixed_5lang,0,64,0,0,50.971717834472656,48.78140640258789,48.58210754394531,89.10748291015625,89.47361755371094,89.65067291259766,2.9999263286590576,4.150548458099365,5.884429454803467,1.1750818490982056,1.1578500270843506,1.17375648021698,1.056020736694336,1.046385645866394,1.0404608249664307
3,up_proj,korean_only,0,mixed_5lang,1,64,0,0,46.238285064697266,44.18474578857422,44.433563232421875,88.98835754394531,89.25494384765625,89.64881896972656,2.8237228393554688,3.9028170108795166,5.570720195770264,1.1160920858383179,1.1012516021728516,1.127798080444336,0.9749940633773804,0.9653360843658447,0.9593680500984192
3,up_proj,korean_only,0,mixed_5lang,2,64,0,0,46.34496307373047,44.65804672241211,45.299198150634766,88.98236083984375,89.41389465332031,89.61520385742188,2.827174663543701,3.9275054931640625,5.636044979095459,1.1187779903411865,1.1071473360061646,1.137465238571167,0.9715046882629395,0.9621328711509705,0.9565713405609131
3,up_proj,korean_only,1,korean_only,2,64,0,0,13.15349006652832,15.646150588989258,21.063190460205078,58.747188568115234,77.24630737304688,86.72450256347656,1.1708484888076782,1.903195858001709,3.419226884841919,0.5194275975227356,0.6046273708343506,0.7854162454605103,0.1422802060842514,0.14252421259880066,0.14379960298538208
3,up_proj,korean_only,1,swahili_only,0,64,0,0,80.5221939086914,79.09976959228516,76.6081314086914,89.6329116821289,89.76168823242188,89.8725814819336,3.899425745010376,5.490869045257568,7.67660665512085,1.454477310180664,1.4490399360656738,1.4398435354232788,1.5330986976623535,1.531983494758606,1.5307366847991943
3,up_proj,korean_only,1,swahili_only,1,64,0,0,80.48759460449219,79.01486206054688,76.50382232666016,89.65670013427734,89.76810455322266,89.85757446289062,3.8983938694000244,5.488773345947266,7.672180652618408,1.4550049304962158,1.4483777284622192,1.4393001794815063,1.5353775024414062,1.534196138381958,1.5328872203826904
3,up_proj,korean_only,1,swahili_only,2,64,0,0,80.54120635986328,79.1328353881836,76.63835906982422,89.59391021728516,89.77552795410156,89.86188507080078,3.9001989364624023,5.492871284484863,7.67952823638916,1.4522773027420044,1.4459643363952637,1.437432050704956,1.5324681997299194,1.531217098236084,1.5298570394515991
3,up_proj,korean_only,1,bengali_only,0,64,0,0,76.3082275390625,74.49765014648438,71.28382110595703,89.49308776855469,89.71198272705078,89.82117462158203,3.7998836040496826,5.3265485763549805,7.384627819061279,1.4175770282745361,1.4172521829605103,1.4228291511535645,1.4059261083602905,1.4032951593399048,1.4010775089263916
3,up_proj,korean_only,1,bengali_only,1,64,0,0,76.19965362548828,74.44176483154297,71.24713134765625,89.50453186035156,89.71253967285156,89.84187316894531,3.796360731124878,5.324233055114746,7.381804943084717,1.4148638248443604,1.4156153202056885,1.4217803478240967,1.4048793315887451,1.4022862911224365,1.400087594985962
3,up_proj,korean_only,1,bengali_only,2,64,0,0,76.18534088134766,74.42251586914062,71.22964477539062,89.56269073486328,89.69325256347656,89.82970428466797,3.795747756958008,5.32243013381958,7.380676746368408,1.4162724018096924,1.4173262119293213,1.421718955039978,1.4071043729782104,1.4044568538665771,1.4022417068481445
